Service Name,Physical Address Line 1,Physical Address Line 2,Physical Suburb,Physical State,Physical Post Code,2019 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,Medicare Local Area Name,Medicare Local Area Code,2017 PHN Name,2017 PHN Code,2019 LGA Code,2019 LGA Name,Latitude,Longitude,2022/23 FY Australian Government Funding
Jindera Gardens Hostel,74 - 80 Creek Street, ,JINDERA,NSW,2642,Riverina/Murray,Residential,21,0,0,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,2,11175,Albury Region,10901,Albury,Hume,ML216,Murrumbidgee,PHN110,13340,Greater Hume Shire (A),-35.95101441,146.8907246,"$1,540,176 "
Haddington Nursing Home,126 Duncan Street, ,TENTERFIELD,NSW,2372,New England,Residential,46,0,0,Tenterfield Care Centre Limited,Charitable,Outer Regional Australia,5,11194,Tenterfield,11002,Inverell - Tenterfield,New England,ML114,Hunter New England and Central Coast,PHN108,17400,Tenterfield (A),-29.040912,152.014761,"$3,756,463 "
Bupa Dural,1 Stonelea Court, ,DURAL,NSW,2158,Western Sydney,Residential,102,0,0,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11297,Dural - Kenthurst - Wisemans Ferry,11502,Dural - Wisemans Ferry,Western Sydney,ML105,Western Sydney,PHN103,17420,The Hills Shire (A),-33.69333852,151.0164699,"$6,958,550 "
Bupa Barrabool,55 Barrabool Road, ,BELMONT,VIC,3216,Barwon-South Western,Residential,60,0,0,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21037,Belmont,20302,Geelong,Barwon,ML210,Western Victoria,PHN206,22750,Greater Geelong (C),-38.1660727,144.3367079,"$4,250,873 "
Beechworth Health Service Residential Care Program,52 Sydney Road, ,BEECHWORTH,VIC,3747,Hume,Residential,60,0,0,Beechworth Health Service,State Government,Inner Regional Australia,5,21068,Beechworth,20403,Wodonga - Alpine,Hume,ML216,Murray,PHN205,23350,Indigo (S),-36.3500662,146.690617,"$4,339,121 "
Edward Collick Home,173 Wilson Street, ,KALGOORLIE,WA,6430,Goldfields,Residential,89,0,0,Amana Living Incorporated,Religious,Outer Regional Australia,3,51279,Kalgoorlie,51103,Goldfields,Goldfields - Midwest,ML507,Country WA,PHN503,54280,Kalgoorlie/Boulder (C),-30.759952,121.484803,"$6,234,566 "
501 Respite & Care Services,501 Pine Ridge Road, ,BIGGERA WATERS,QLD,4216,South Coast,Residential,62,0,0,Nightbreeze Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31236,Biggera Waters,30903,Gold Coast - North,Gold Coast,ML303,Gold Coast,PHN303,33430,Gold Coast (C),-27.92220371,153.384513,"$4,591,629 "
Buckland,39 Hawkesbury Road, ,SPRINGWOOD,NSW,2777,Nepean,Residential,149,0,0,The Buckland Convalescent Hospital,Community Based,Major Cities of Australia,1,11454,Springwood - Winmalee,12401,Blue Mountains,Nepean - Blue Mountains,ML106,Nepean Blue Mountains,PHN104,10900,Blue Mountains (C),-33.69468968,150.5799044,"$10,170,913 "
Regis Tiwi,11  CRESWELL STREET, ,TIWI,NT,810,Darwin,Residential,135,0,0,Regis Aged Care Pty Ltd,Private Incorporated Body,Outer Regional Australia,2,71027,Tiwi,70102,Darwin Suburbs,Northern Territory,ML701,Northern Territory,PHN701,71000,Darwin (C),-12.36335837,130.8803008,"$12,623,107 "
Murdoch Gardens Care Community,Discovery Way, ,MURDOCH,WA,6150,Metropolitan South West,Residential,141,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,51182,Murdoch - Kardinya,50704,Melville,Fremantle,ML503,Perth South,PHN502,55320,Melville (C),-32.070663,115.827661,"$9,059,232 "
Snug Village,10A Torpy Avenue, ,SNUG,TAS,7054,Southern,Residential,76,0,0,Christian Homes Tasmania Inc.,Charitable,Inner Regional Australia,2,61024,Margate - Snug,60104,Hobart - South and West,Tasmania,ML601,Tasmania,PHN601,63610,Kingborough (M),-43.06674521,147.2576882,"$4,772,166 "
Regents Garden - Bateman,2 Amur Place, ,BATEMAN,WA,6150,Metropolitan South West,Residential,108,0,0,Regents Garden Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,51176,Bateman,50704,Melville,Fremantle,ML503,Perth South,PHN502,55320,Melville (C),-32.0465429,115.8482913,"$8,930,747 "
Aegis Shawford,4 Shawford Place, ,INNALOO,WA,6018,Metropolitan North,Residential,102,0,0,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,51088,Innaloo - Doubleview,50502,Stirling,Perth North Metro,ML502,Perth North,PHN501,57910,Stirling (C),-31.89822909,115.8013529,"$7,107,383 "
Helping Hand Aged Care - Mawson Lakes Facility,2-10 The Strand -, ,MAWSON LAKES,SA,5095,Metropolitan North,Residential,98,0,0,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,41171,Mawson Lakes - Globe Derby Park,40204,Salisbury,Northern Adelaide,ML401,Adelaide,PHN401,47140,Salisbury (C),-34.810437,138.610382,"$8,867,969 "
Lexington Gardens,18 Villa Road, ,SPRINGVALE,VIC,3171,Southern Metro,Residential,98,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,21317,Springvale,21204,Dandenong,South Eastern Melbourne,ML208,South Eastern Melbourne,PHN203,22670,Greater Dandenong (C),-37.9482271,145.1421503,"$7,632,081 "
Rosewood Care West Perth,67 Cleaver Street, ,WEST PERTH,WA,6005,Metropolitan East,Residential,151,0,0,Rosewood Care Group (Inc),Charitable,Major Cities of Australia,1,51041,Perth City,50302,Perth City,Perth Central and East Metro,ML501,Perth North,PHN501,58570,Vincent (C),-31.93732,115.848823,"$7,262,822 "
Fronditha Clayton Aged Care,94 Springs Road, ,CLAYTON SOUTH,VIC,3169,Southern Metro,Residential,150,0,0,Fronditha Care,Community Based,Major Cities of Australia,1,21309,Clarinda - Oakleigh South,21204,Dandenong,Bayside,ML202,South Eastern Melbourne,PHN203,23430,Kingston (C) (Vic.),-37.936301,145.108061,"$12,426,758 "
Baptcare Amberlea Community,5 Pearson Road, ,DROUIN,VIC,3818,Gippsland,Residential,91,0,0,Baptcare Ltd,Religious,Inner Regional Australia,4,21076,Drouin,20501,Baw Baw,Gippsland,ML217,Gippsland,PHN204,20830,Baw Baw (S),-38.13869041,145.8534714,"$6,876,943 "
Estia Health Werribee,8 Russell Street, ,WERRIBEE,VIC,3030,Western Metro,Residential,77,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21368,Werribee - South,21305,Wyndham,South Western Melbourne,ML203,North Western Melbourne,PHN201,27260,Wyndham (C),-37.90839788,144.6649246,"$5,783,168 "
BlueCross Chelsea Manor,7-11 Beardsworth Avenue, ,CHELSEA,VIC,3196,Southern Metro,Residential,70,0,0,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21186,Chelsea - Bonbeach,20803,Kingston,Bayside,ML202,South Eastern Melbourne,PHN203,23430,Kingston (C) (Vic.),-38.04918021,145.123058,"$5,426,747 "
Mornington Bay Care Community,185 Racecourse Road, ,MOUNT MARTHA,VIC,3934,Southern Metro,Residential,140,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21382,Mount Martha,21402,Mornington Peninsula,Frankston - Mornington Peninsula,ML209,South Eastern Melbourne,PHN203,25340,Mornington Peninsula (S),-38.25034983,145.0588593,"$9,908,267 "
Aurrum Erina,351 Terrigal Drive, ,ERINA,NSW,2250,Central Coast,Residential,250,0,0,Aurrum Pty Limited,Private Incorporated Body,Major Cities of Australia,1,11031,Erina - Green Point,10201,Gosford,Central Coast NSW,ML109,Hunter New England and Central Coast,PHN108,11650,Central Coast (C) (NSW),-33.43410231,151.3992373,"$17,715,383 "
Leeton Hospital,4 Myall Street, ,LEETON,NSW,2705,Riverina/Murray,Residential,38,0,0,NSW State Government (NSW Ministry of Health),State Government,Outer Regional Australia,4,11258,Leeton,11301,Griffith - Murrumbidgee (West),Murrumbidgee,ML116,Murrumbidgee,PHN110,14750,Leeton (A),-34.545836,146.409983,"$2,424,649 "
Calvary St Joseph's Retirement Community,240 Maitland Road, ,SANDGATE,NSW,2304,Hunter,Residential,136,0,0,Calvary Retirement Communities Limited,Religious,Major Cities of Australia,1,11231,Shortland - Jesmond,11103,Newcastle,Hunter,ML111,Hunter New England and Central Coast,PHN108,15900,Newcastle (C),-32.85897674,151.7034411,"$11,637,169 "
Baptistcare William Carey Court,450 Bussell Highway, ,BROADWATER,WA,6280,South West,Residential,99,0,0,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,3,51002,Busselton,50101,Augusta - Margaret River - Busselton,South West WA,ML506,Country WA,PHN503,51260,Busselton (C),-33.66124,115.29076,"$8,158,641 "
Blue Hills Manor,25 Tulich Avenue, ,PRESTONS,NSW,2170,South West Sydney,Residential,67,0,0,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,1,11600,Prestons - Edmondson Park,12703,Liverpool,South Western Sydney,ML104,South Western Sydney,PHN105,14900,Liverpool (C),-33.94897121,150.8592218,"$4,621,612 "
Aurrum Reservoir,1 Aberdeen Street, ,RESERVOIR,VIC,3073,Northern Metro,Residential,130,0,0,Aurrum Pty Limited,Private Incorporated Body,Major Cities of Australia,1,21207,Reservoir - East,20902,Darebin - North,Northern Melbourne,ML205,North Western Melbourne,PHN201,21890,Darebin (C),-37.70366673,145.0179883,"$7,629,862 "
Southern Cross Care Facility Caloundra,53  VILLAGE WAY, ,LITTLE MOUNTAIN,QLD,4551,Sunshine Coast,Residential,103,0,0,Southern Cross Care (QLD) Ltd,Religious,Major Cities of Australia,1,31420,Caloundra - West,31602,Caloundra,Sunshine Coast,ML304,"Central Queensland, Wide Bay, Sunshine Coast",PHN306,36720,Sunshine Coast (R),-26.77574212,153.08563,"$7,464,411 "
Coolah Multi-Purpose Service,111-135 Martin Street, ,COOLAH,NSW,2843,Orana Far West,Multi-Purpose Service,20,7,0,Western NSW Local Health District,State Government,Outer Regional Australia,5,11099,Coonabarabran,10503,Dubbo,Western NSW,ML115,Western NSW,PHN107,18020,Warrumbungle Shire (A),-31.821537,149.709992,"$1,507,205 "
Barraba Multi-Purpose Service,2-4 Edward Street, ,BARRABA,NSW,2347,New England,Multi-Purpose Service,16,0,0,Hunter New England Local Health District,State Government,Outer Regional Australia,5,11205,Tamworth Region,11004,Tamworth - Gunnedah,New England,ML114,Hunter New England and Central Coast,PHN108,17310,Tamworth Regional (A),-30.38207239,150.6066656,"$1,118,517 "
Estia Health Plenty Valley,806 Plenty Road, ,SOUTH MORANG,VIC,3752,Northern Metro,Residential,68,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21436,South Morang (South),20904,Whittlesea - Wallan,Northern Melbourne,ML205,Eastern Melbourne,PHN202,27070,Whittlesea (C),-37.652707,145.087432,"$4,400,613 "
Denman Multi-Purpose Service,51 OGILVIE Street, ,DENMAN,NSW,2328,Hunter,Multi-Purpose Service,13,0,0,Hunter New England Local Health District,State Government,Inner Regional Australia,5,11127,Muswellbrook Region,10604,Upper Hunter,Hunter,ML111,Hunter New England and Central Coast,PHN108,15650,Muswellbrook (A),-32.38990911,150.6898199,"$938,320 "
Rylstone Multi-Purpose Service,9 Fitzgerald Street, ,RYLSTONE,NSW,2849,Orana Far West,Multi-Purpose Service,24,0,0,Western NSW Local Health District,State Government,Outer Regional Australia,5,11073,Mudgee Region - East,10303,Lithgow - Mudgee,Western NSW,ML115,Western NSW,PHN107,15270,Mid-Western Regional (A),-32.803144,149.975102,"$1,648,975 "
Fairlea Aged Care @ Harris Park,7-11 Crown Street, ,HARRIS PARK,NSW,2150,Western Sydney,Residential,50,0,0,Trinity Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11492,Parramatta - Rosehill,12504,Parramatta,Western Sydney,ML105,Western Sydney,PHN103,16260,Parramatta (C),-33.82329955,151.0117221,"$4,609,521 "
Lorocco,40 Scrub Road, ,CARINDALE,QLD,4152,Brisbane South,Residential,50,0,0,Queensland Rehabilitation Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31051,Carindale,30301,Carindale,Greater Metro South Brisbane,ML302,Brisbane South,PHN302,31000,Brisbane (C),-27.50157819,153.1172173,"$4,351,549 "
Somerville Gardens Care Community,22 Graf Road, ,SOMERVILLE,VIC,3912,Southern Metro,Residential,130,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21385,Somerville,21402,Mornington Peninsula,Frankston - Mornington Peninsula,ML209,South Eastern Melbourne,PHN203,25340,Mornington Peninsula (S),-38.225146,145.168229,"$9,811,188 "
Indochinese Aged Care Services,"680 Cabramatta Road, West", ,BONNYRIGG,NSW,2177,South West Sydney,Residential,88,0,0,Indochinese Aged Care Limited,Community Based,Major Cities of Australia,1,11509,Bonnyrigg Heights - Bonnyrigg,12702,Fairfield,South Western Sydney,ML104,South Western Sydney,PHN105,12850,Fairfield (C),-33.89394001,150.8947239,"$8,580,689 "
Coastal Waters Aged Care,100 The Wool Road, ,WORROWING HEIGHTS,NSW,2540,Illawarra,Residential,126,0,0,RSL Care RDNS Limited,Charitable,Inner Regional Australia,4,11279,St Georges Basin - Erowal Bay,11401,Shoalhaven,Illawarra - Shoalhaven,ML110,South Eastern NSW,PHN106,16950,Shoalhaven (C),-35.08806709,150.6402229,"$8,320,140 "
Lightning Ridge Multi-Purpose Service,25 Pandora Street, ,LIGHTNING RIDGE,NSW,2834,Orana Far West,Multi-Purpose Service,19,2,0,Western NSW Local Health District,State Government,Remote Australia,6,11096,Walgett - Lightning Ridge,10501,Bourke - Cobar - Coonamble,Far West NSW,ML118,Western NSW,PHN107,17900,Walgett (A),-29.42991,147.98206,"$1,631,773 "
War Veterans Home Myrtle Bank,55 - 59 Ferguson Avenue, ,MYRTLE BANK,SA,5064,Metropolitan East,Residential,95,0,0,RSL Care South Australia Incorporated,Community Based,Major Cities of Australia,1,41024,Unley - Parkside,40107,Unley,Central Adelaide and Hills,ML402,Adelaide,PHN401,47980,Unley (C),-34.96065973,138.63421,"$6,693,214 "
Estia Health Willoughby,202 Mowbray Road, ,WILLOUGHBY,NSW,2068,Northern Sydney,Residential,74,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11402,Willoughby - Castle Cove - Northbridge,12101,Chatswood - Lane Cove,Sydney North Shore and Beaches,ML108,Northern Sydney,PHN102,18250,Willoughby (C),-33.80317962,151.1941657,"$5,644,825 "
BlueCross Monterey,858 Pascoe Vale Road, ,GLENROY,VIC,3046,Northern Metro,Residential,121,0,0,Third Age Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21438,Glenroy,21003,Moreland - North,Inner North West Melbourne,ML201,North Western Melbourne,PHN201,25250,Moreland (C),-37.7018096,144.9153492,"$7,399,571 "
Proserpine Nursing Home,42 Anzac Road, ,PROSERPINE,QLD,4800,Mackay,Residential,103,0,0,Proserpine Nursing Home Inc,Community Based,Outer Regional Australia,5,31361,Proserpine,31203,Whitsunday,Townsville - Mackay,ML310,Northern Queensland,PHN307,37340,Whitsunday (R),-20.40374094,148.57349,"$9,407,399 "
Courtlands Aged Care Facility,15 Gloucester Avenue, ,NORTH PARRAMATTA,NSW,2151,Western Sydney,Residential,144,0,0,Christadelphian Homes Limited,Religious,Major Cities of Australia,1,11489,North Parramatta,12504,Parramatta,Western Sydney,ML105,Western Sydney,PHN103,16260,Parramatta (C),-33.795562,151.010266,"$7,562,518 "
Catholic Healthcare St Catherine's Aged Care,51 Gormans Hill Road, ,GORMANS HILL,NSW,2795,Central West,Residential,130,0,0,Catholic Healthcare Limited,Charitable,Inner Regional Australia,3,11058,Bathurst,10301,Bathurst,Western NSW,ML115,Western NSW,PHN107,10470,Bathurst Regional (A),-33.433228,149.586132,"$10,020,830 "
Regis Dandenong North,5 Bakers Road, ,DANDENONG NORTH,VIC,3175,Southern Metro,Residential,171,0,0,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21312,Dandenong North,21204,Dandenong,South Eastern Melbourne,ML208,South Eastern Melbourne,PHN203,22670,Greater Dandenong (C),-37.954412,145.196679,"$12,437,005 "
Fronditha Thalpori Aged Care Services - St Albans,181 Furlong Road, ,ST ALBANS,VIC,3021,Western Metro,Residential,90,0,0,Fronditha Care,Community Based,Major Cities of Australia,1,21335,St Albans - South,21301,Brimbank,Macedon Ranges and North Western Melbourne,ML204,North Western Melbourne,PHN201,21180,Brimbank (C),-37.76036474,144.8105657,"$7,669,268 "
Alstonville Adventist Aged Care Facility,77 Pearces Creek Road, ,ALSTONVILLE,NSW,2477,Far North Coast,Residential,51,0,0,Seventh-day Adventist Aged Care (North New South Wales) Ltd,Charitable,Inner Regional Australia,3,11237,Ballina Region,11201,Richmond Valley - Coastal,North Coast NSW,ML113,North Coast,PHN109,10250,Ballina (A),-28.831896,153.439308,"$3,201,478 "
Wearne Home,7 Leslie Street, ,DUDLEY PARK,WA,6210,Metropolitan South West,Residential,47,0,0,Amana Living Incorporated,Religious,Major Cities of Australia,1,51028,Mandurah - South,50201,Mandurah,Perth South Coastal,ML505,Perth South,PHN502,55110,Mandurah (C),-32.53621492,115.7206299,"$4,109,562 "
Coolum Beach Care Centre,4 Wembley Road, ,COOLUM BEACH,QLD,4573,Sunshine Coast,Residential,50,0,0,Sundale Ltd,Community Based,Major Cities of Australia,1,31425,Coolum Beach,31603,Maroochy,Sunshine Coast,ML304,"Central Queensland, Wide Bay, Sunshine Coast",PHN306,36720,Sunshine Coast (R),-26.51908066,153.0835503,"$3,904,790 "
BlueCross Western Gardens,40 Anderson Road, ,SUNSHINE,VIC,3020,Western Metro,Residential,90,0,0,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21336,Sunshine,21301,Brimbank,Macedon Ranges and North Western Melbourne,ML204,North Western Melbourne,PHN201,21180,Brimbank (C),-37.7921242,144.8277317,"$7,810,877 "
Estia Health Burton,367-379 Waterloo Corner Road, ,BURTON,SA,5110,Metropolitan North,Residential,104,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41048,Salisbury North,40204,Salisbury,Northern Adelaide,ML401,Adelaide,PHN401,47140,Salisbury (C),-34.74215885,138.6106649,"$8,381,908 "
AnglicareSA Brompton,2-10 First Street, ,BROMPTON,SA,5007,Metropolitan West,Residential,40,0,0,Anglicare SA Ltd,Religious,Major Cities of Australia,1,41093,Hindmarsh - Brompton,40401,Charles Sturt,Central Adelaide and Hills,ML402,Adelaide,PHN401,41060,Charles Sturt (C),-34.90402872,138.5733222,"$5,047,842 "
Craigcare Moonee Ponds,88 Holmes Road, ,MOONEE PONDS,VIC,3039,Western Metro,Residential,138,0,0,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21116,Moonee Ponds,20603,Essendon,Inner North West Melbourne,ML201,North Western Melbourne,PHN201,25060,Moonee Valley (C),-37.765238,144.911885,"$7,249,138 "
Alpine Health - Barwidgee Lodge MPS,30 O'Donnell Avenue, ,MYRTLEFORD,VIC,3737,Hume,Multi-Purpose Service,35,0,0,Alpine Health,State Government,Inner Regional Australia,5,21071,Myrtleford,20403,Wodonga - Alpine,Hume,ML216,Murray,PHN205,20110,Alpine (S),-36.55454457,146.7275267,"$2,036,591 "
Emmaus,16 Colonel Barney Drive, ,PORT MACQUARIE,NSW,2444,Mid North Coast,Residential,116,0,0,St Agnes' Care & Lifestyle,Religious,Inner Regional Australia,3,11163,Port Macquarie - East,10804,Port Macquarie,North Coast NSW,ML113,North Coast,PHN109,16380,Port Macquarie-Hastings (A),-31.46448539,152.8922534,"$8,898,779 "
Estia Health Dalmeny,25-29 Noble Parade, ,DALMENY,NSW,2546,Southern Highlands,Residential,115,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Outer Regional Australia,5,11027,Narooma - Bermagui,10104,South Coast,Southern NSW,ML117,South Eastern NSW,PHN106,12750,Eurobodalla (A),-36.16574813,150.1282068,"$8,977,411 "
The Belmont Residential Aged Care,235 High Street, ,BELMONT,VIC,3216,Barwon-South Western,Residential,102,0,0,Western Residential Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21037,Belmont,20302,Geelong,Barwon,ML210,Western Victoria,PHN206,22750,Greater Geelong (C),-38.1779266,144.3399375,"$6,862,576 "
The Queen Victoria Home,13 Milford Street, ,LINDISFARNE,TAS,7015,Southern,Residential,137,0,0,Queen Victoria Home Inc,Community Based,Inner Regional Australia,2,61008,Lindisfarne - Rose Bay,60102,Hobart - North East,Tasmania,ML601,Tasmania,PHN601,61410,Clarence (C),-42.847282,147.357732,"$9,306,819 "
Glanville Village,17 Francis Street, ,ECHUCA,VIC,3564,Loddon-Mallee,Residential,60,0,0,Echuca Regional Health,State Government,Inner Regional Australia,3,21406,Echuca,21601,Campaspe,Loddon - Mallee - Murray,ML214,Murray,PHN205,21370,Campaspe (S),-36.13819716,144.7488185,"$4,920,741 "
Churches of Christ Kolan Gardens Aged Care Service,6 C Mulgrave Street, ,GIN GIN,QLD,4671,Wide Bay,Residential,24,0,0,Churches of Christ in Queensland,Religious,Outer Regional Australia,5,31504,Gin Gin,31902,Burnett,Wide Bay,ML307,"Central Queensland, Wide Bay, Sunshine Coast",PHN306,31820,Bundaberg (R),-24.98429149,151.9520699,"$1,975,956 "
Minchinbury Manor,57 John Street, ,ROOTY HILL,NSW,2766,Western Sydney,Residential,146,0,0,Australasian Accommodation Aged Care Pty Limited,Private Incorporated Body,Major Cities of Australia,1,11319,Rooty Hill - Minchinbury,11603,Mount Druitt,Western Sydney,ML105,Western Sydney,PHN103,10750,Blacktown (C),-33.781418,150.830122,"$12,520,962 "
Bribie Cove,199-213 Goodwin Drive, ,BONGAREE,QLD,4507,Cabool,Residential,90,0,0,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,2,31363,Bribie Island,31301,Bribie - Beachmere,Metro North Brisbane,ML301,Brisbane North,PHN301,35010,Moreton Bay (R),-27.06631851,153.1603393,"$6,897,568 "
Tasman MPS,1614 Main Road, ,NUBEENA,TAS,7184,Southern,Multi-Purpose Service,28,6,0,Huon Regional Care,Charitable,Outer Regional Australia,5,61073,Forestier - Tasman,60303,South East Coast,Tasmania,ML601,Tasmania,PHN601,65210,Tasman (M),-43.10307558,147.7421554,"$1,906,957 "
Ozcare Ozanam Villa - Burleigh,20 Matilda Street, ,BURLEIGH HEADS,QLD,4220,South Coast,Residential,167,0,0,Ozcare,Charitable,Major Cities of Australia,1,31225,Burleigh Heads,30901,Broadbeach - Burleigh,Gold Coast,ML303,Gold Coast,PHN303,33430,Gold Coast (C),-28.09949344,153.4455487,"$11,683,689 "
Southern Cross Care Marsfield Residential Aged Care,16 Vincentia Street, ,MARSFIELD,NSW,2122,Northern Sydney,Residential,61,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,1,11500,Macquarie Park - Marsfield,12602,Ryde - Hunters Hill,Northern Sydney,ML107,Northern Sydney,PHN102,16700,Ryde (C),-33.78145033,151.1045325,"$5,134,288 "
Bangalor Retreat,4 Stott Street, ,TWEED HEADS WEST,NSW,2485,Far North Coast,Residential,101,0,0,Temahl (Aust) Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11254,Tweed Heads,11203,Tweed Valley,North Coast NSW,ML113,North Coast,PHN109,17550,Tweed (A),-28.19198108,153.4936814,"$6,465,131 "
MercyCare Maddington,185 Maddington Road, ,MADDINGTON,WA,6109,Metropolitan South East,Residential,50,0,0,Mercy Human Services Limited,Charitable,Major Cities of Australia,1,51136,Maddington - Orange Grove - Martin,50604,Gosnells,Bentley - Armadale,ML504,Perth South,PHN502,53780,Gosnells (C),-32.04240149,116.0051789,"$3,989,722 "
McCracken Views Residential Care,31 Adelaide Road, ,VICTOR HARBOR,SA,5211,"Hills, Mallee & Southern",Residential,60,0,0,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Inner Regional Australia,3,41148,Victor Harbor,40701,Fleurieu - Kangaroo Island,Southern Adelaide - Fleurieu - Kangaroo Island,ML403,Country SA,PHN402,48050,Victor Harbor (C),-35.53121138,138.6378721,"$4,192,931 "
Regis Brighton,161 Male Street, ,BRIGHTON,VIC,3186,Southern Metro,Residential,65,0,0,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21169,Brighton (Vic.),20801,Bayside,Bayside,ML202,South Eastern Melbourne,PHN203,20910,Bayside (C),-37.906534,145.005299,"$4,757,631 "
Casey Manor,445 Ormond Road, ,NARRE WARREN SOUTH,VIC,3805,Southern Metro,Residential,45,0,0,Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21458,Narre Warren South (West),21203,Casey - South,South Eastern Melbourne,ML208,South Eastern Melbourne,PHN203,21610,Casey (C),-38.06493873,145.2983439,"$3,954,259 "
Calvary The Homestead,29 Homestead Avenue, ,WALKLEY HEIGHTS,SA,5098,Metropolitan North,Residential,63,0,0,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41040,Ingle Farm,40204,Salisbury,Northern Adelaide,ML401,Adelaide,PHN401,47140,Salisbury (C),-34.83664051,138.639167,"$5,189,174 "
BaptistCare Aminya Centre,6 Goolgung Avenue, ,BAULKHAM HILLS,NSW,2153,Western Sydney,Residential,119,0,0,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,1,11290,Baulkham Hills (East),11501,Baulkham Hills,Western Sydney,ML105,Western Sydney,PHN103,17420,The Hills Shire (A),-33.75767277,151.0000114,"$6,738,020 "
Victoria Grange Residential Aged Care Facility,502-514 Burwood Highway, ,VERMONT SOUTH,VIC,3133,Eastern Metro,Residential,105,0,0,Australian Unity Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21273,Vermont South,21104,Whitehorse - East,Inner East Melbourne,ML206,Eastern Melbourne,PHN202,26980,Whitehorse (C),-37.857157,145.185628,"$6,935,449 "
Glenara Lakes,390 Hobart Road, ,YOUNGTOWN,TAS,7249,Northern,Residential,88,0,0,Southern Cross Care (Tas) Inc,Religious,Inner Regional Australia,2,61052,Youngtown - Relbia,60201,Launceston,Tasmania,ML601,Tasmania,PHN601,64010,Launceston (C),-41.48650617,147.1623109,"$6,700,055 "
Estia Health Salisbury,7 Salisbury Highway, ,SALISBURY,SA,5108,Metropolitan North,Residential,73,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41046,Salisbury,40204,Salisbury,Northern Adelaide,ML401,Adelaide,PHN401,47140,Salisbury (C),-34.75438614,138.6471816,"$6,471,293 "
Sandpiper Lodge Residential Care,35 Washington Street, ,GOOLWA,SA,5214,"Hills, Mallee & Southern",Residential,81,0,0,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Inner Regional Australia,3,41144,Goolwa - Port Elliot,40701,Fleurieu - Kangaroo Island,Southern Adelaide - Fleurieu - Kangaroo Island,ML403,Country SA,PHN402,40220,Alexandrina (DC),-35.49127161,138.7941676,"$4,749,449 "
Onkaparinga Lodge Residential Care,28 Liddell Drive, ,HUNTFIELD HEIGHTS,SA,5163,Metropolitan South,Residential,92,0,0,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,41079,Hackham West - Huntfield Heights,40304,Onkaparinga,Southern Adelaide - Fleurieu - Kangaroo Island,ML403,Adelaide,PHN401,45340,Onkaparinga (C),-35.151741,138.521045,"$7,452,342 "
